NODES__X,NODES__Y,NODES__Z,SHAPES__Nodes__001,SHAPES__Nodes__002,SHAPES__Nodes__003
0.0131,-0.019430324,0.051801,1,2,3
0.0131,-0.019430324,0.06699588,1,3,0
0.0131,-0.018630324,0.06699588,1034,0,1033
0.0131,-0.018630324,0.051801,5,1032,4
0.0131,-0.017630324,0.050801,1034,1033,1032
0.0131,-0.017630324,0.050001,1034,1032,5
0.0149,-0.017630324,0.050001,0,3,1033
0.0149,-0.019430324,0.051801,1034,5,6
0.0149,-0.019430324,0.06699588,1034,1035,7
0.0148,-0.019430324,0.06719588,1035,1034,6
0.0132,-0.019430324,0.06719588,1034,7,0
0.0135,-0.019155324,0.06779588,1,0,8
0.0135,-0.018905324,0.06779588,8,9,10
0.0132,-0.018630324,0.06719588,1,8,10
0.0145,-0.019155324,0.06779588,0,7,8
0.0145,-0.018905324,0.06779588,13,10,12
0.0149,-0.018630324,0.06699588,10,13,1
0.0148,-0.018630324,0.06719588,10,11,12
0.0149,-0.018630324,0.051801,13,2,1
0.0149,-0.017630324,0.050801,14,11,9
0.0158,-0.0007,0.050801,11,10,9
0.0161,-0.000125544,0.050801,17,15,9
0.0161,0.0008,0.050801,8,16,17
0.0154,0.0008,0.050801,15,14,9
0.0154,0.006483231,0.050801,9,8,17
0.015305803,0.007089792,0.050801,17,13,15
0.012694197,0.007089792,0.050801,13,12,15
0.0126,0.006483231,0.050801,11,14,15
0.0126,0.0008,0.050801,11,15,12
0.0119,0.0008,0.050801,16,13,17
0.0119,-0.000125544,0.050801,16,3,2
0.0122,-0.0007,0.050801,16,2,13
0.0119,-0.001274456,0.050801,18,3,16
0.0119,-0.0022,0.050801,1036,1033,3
0.0121,-0.0022,0.050801,1036,1037,1033
0.0126,-0.0022,0.050801,4,1032,1037
0.0126,-0.0032,0.050801,19,4,1037
0.01235,-0.0032,0.050801,1037,1032,1033
0.012257363,-0.003337662,0.050801,18,1036,3
0.012592637,-0.004162338,0.050801,21,23,1038
0.012568125,-0.004273205,0.050801,23,20,1038
0.0124,-0.004273205,0.050801,27,24,26
0.012310484,-0.00441778,0.050801,23,21,22
0.0127,-0.0052,0.050801,25,26,24
0.0127,-0.0065,0.050801,28,20,23
0.0131,-0.0075,0.050801,27,23,24
0.0131,-0.0082,0.050801,27,28,23
0.0149,-0.0082,0.050801,1039,31,28
0.0149,-0.0075,0.050801,30,28,29
0.0153,-0.0065,0.050801,1039,28,30
0.0153,-0.0052,0.050801,28,31,20
0.015689516,-0.00441778,0.050801,20,35,58
0.0156,-0.004273205,0.050801,35,1040,32
0.015431875,-0.004273205,0.050801,34,32,33
0.015407363,-0.004162338,0.050801,35,31,1040
0.015742637,-0.003337662,0.050801,35,32,34
0.01565,-0.0032,0.050801,20,31,35
0.0154,-0.0032,0.050801,38,39,36
0.0154,-0.0022,0.050801,38,36,37
0.0159,-0.0022,0.050801,1041,38,37
0.0161,-0.0022,0.050801,1042,1041,37
0.0161,-0.001274456,0.050801,1043,1048,39
0.0161,-0.001274456,0.050001,42,40,41
0.0158,-0.0007,0.050001,1044,42,41
0.0161,-0.000125544,0.050001,1045,1044,41
0.0161,-0.0022,0.050001,43,40,42
0.0161,0.0008,0.050001,43,1043,40
0.0159,-0.0022,0.050001,49,43,44
0.0154,-0.0022,0.050001,46,48,45
0.0154,-0.0032,0.050001,46,4,19
0.01565,-0.0032,0.050001,46,19,47
0.015742637,-0.003337662,0.050001,49,44,45
0.015407363,-0.004162338,0.050001,43,1048,1043
0.015431875,-0.004273205,0.050001,46,47,48
0.0156,-0.004273205,0.050001,54,36,39
0.015689516,-0.00441778,0.050001,49,45,48
0.0153,-0.0052,0.050001,50,43,49
0.0153,-0.0065,0.050001,58,35,36
0.0149,-0.0075,0.050001,43,50,1048
0.0149,-0.0082,0.050001,53,50,51
0.0131,-0.0082,0.050001,1046,52,51
0.0131,-0.0075,0.050001,1046,51,1047
0.0127,-0.0065,0.050001,53,51,52
0.0127,-0.0052,0.050001,1048,50,53
0.012310484,-0.00441778,0.050001,54,39,1048
0.0124,-0.004273205,0.050001,57,36,54
0.012568125,-0.004273205,0.050001,57,54,55
0.012592637,-0.004162338,0.050001,1049,56,55
0.012257363,-0.003337662,0.050001,1049,55,1050
0.01235,-0.0032,0.050001,57,55,56
0.0126,-0.0032,0.050001,58,36,57
0.0126,-0.0022,0.050001,58,1051,20
0.0121,-0.0022,0.050001,60,61,59
0.0119,-0.0022,0.050001,61,58,59
0.0119,-0.001274456,0.050001,1051,58,61
0.0122,-0.0007,0.050001,1052,1051,62
0.0119,-0.000125544,0.050001,1051,61,62
0.0119,0.0008,0.050001,1052,63,1051
0.0126,0.0008,0.050001,63,20,1051
0.0126,0.006483231,0.050001,1053,1038,63
0.012694197,0.007089792,0.050001,1038,20,63
0.015305803,0.007089792,0.050001,21,1038,64
0.0154,0.006483231,0.050001,1038,1053,64
0.0154,0.0008,0.050001,65,62,61
0.015302113,0.007101265,0.050001033,60,65,61
0.015302113,0.007101265,0.050800967,21,64,22
0.015170732,0.007505615,0.050757295,64,66,22
0.012829268,0.007505615,0.050757295,62,65,67
0.012697887,0.007101265,0.050800967,62,67,68
0.012697887,0.007101265,0.050001033,69,70,71
0.012829268,0.007505615,0.050044705,70,1054,71
0.015170732,0.007505615,0.050044705,1054,1055,71
0.015024877,0.007954508,0.05014012,69,71,72
0.015024877,0.007954508,0.05066188,76,1056,73
0.014920318,0.008135234,0.050623466,72,87,90
0.013079682,0.008135234,0.050623466,73,74,75
0.012975123,0.007954508,0.05066188,74,1057,75
0.012975123,0.007954508,0.05014012,1057,1058,75
0.013079682,0.008135234,0.050178534,73,75,76
